型号,品牌,屏幕比例,屏幕尺寸,宽度,厚度,重量,电池,发布年份,SoC,类型,,,,,,
Xperia 5 V,SONY,21:9,6.1,68.0 ,8.6 ,182 ,5000 ,2023 ,骁龙8II,直板,,,,,,
Xperia 10,SONY,21:9,6.0,68.0 ,8.4 ,162 ,2870 ,2019 ,骁龙630,直板,,,,,,
Xperia 10 II,SONY,21:9,6.0,69.0 ,8.2 ,151 ,3600 ,2020 ,骁龙665,直板,,,,,,
Xperia 10 III,SONY,21:9,6.0,68.0 ,8.3 ,169 ,4500 ,2021 ,骁龙690,直板,,,,,,
Xperia 10 IV,SONY,21:9,6.0,67.0 ,8.3 ,161 ,5000 ,2022 ,骁龙695,直板,,,,,,
Xperia 10 V,SONY,21:9,6.1,68.0 ,8.3 ,158 ,5000 ,2023 ,骁龙695,直板,,,,,,
Xperia 10 VI,SONY,21:9,6.1,68.0 ,8.3 ,164 ,5000 ,2024 ,骁龙6,直板,,,,,,
Xperia 10 VII,SONY,19.5:9,6.1,72.0 ,8.3 ,168 ,5000 ,2025 ,骁龙6III,直板,,,,,,
Xperia 8,SONY,21:9,6.0,69.0 ,8.1 ,170 ,2760 ,2019 ,骁龙630,直板,,,,,,
Xperia Ace,SONY,18:9,5.0,67.0 ,9.3 ,154 ,2700 ,2019 ,骁龙630,直板,,,,,,
Xperia Ace II,SONY,20:9,5.5,69.0 ,8.9 ,159 ,4500 ,2021 ,Helio P35,直板,,,,,,
Xperia Ace III,SONY,19:9,5.5,69.0 ,8.9 ,162 ,4500 ,2022 ,骁龙480,直板,,,,,,
Zenfone 8,ASUS,20:9,5.9,68.5 ,8.9 ,169 ,4000 ,2021 ,骁龙888,直板,,,,,,
Zenfone 9,ASUS,20:9,5.9,68.5 ,9.1 ,169 ,4300 ,2022 ,骁龙8+,直板,,,,,,
Zenfone 10,ASUS,20:9,5.9,68.1 ,9.4 ,172 ,4300 ,2023 ,骁龙8II,直板,,,,,,
Galaxy S8,SAMSUNG,18.5:9,5.8,68.1 ,8.0 ,155 ,3000 ,2017 ,骁龙835,直板,,,,,,
Galaxy S9,SAMSUNG,18.5:9,5.8,68.7 ,8.5 ,163 ,3000 ,2018 ,骁龙845,直板,,,,,,
Galaxy S10e,SAMSUNG,19:9,5.8,69.9 ,7.9 ,150 ,3100 ,2019 ,骁龙855,直板,,,,,,
Galaxy S10,SAMSUNG,19:9,6.1,70.4 ,7.8 ,157 ,3400 ,2019 ,骁龙855,直板,,,,,,
Galaxy Note 10,SAMSUNG,19:9,6.3,71.8 ,7.9 ,168 ,3500 ,2019 ,骁龙855,直板,,,,,,
Galaxy S20,SAMSUNG,19.5:9,6.2,69.1 ,7.9 ,163 ,4000 ,2020 ,骁龙865,直板,,,,,,
Galaxy S21 5G,SAMSUNG,20:9,6.2,71.2 ,7.9 ,169 ,4000 ,2021 ,骁龙888,直板,,,,,,
Galaxy S22,SAMSUNG,19.5:9,6.1,70.6 ,7.6 ,167 ,3700 ,2022 ,骁龙8,直板,,,,,,
Galaxy S23,SAMSUNG,19.5:9,6.1,70.9 ,7.6 ,168 ,3900 ,2023 ,骁龙8II,直板,,,,,,
Galaxy S24,SAMSUNG,19.5:9,6.2,70.6 ,7.6 ,168 ,4000 ,2024 ,骁龙8III,直板,,,,,,
Galaxy S25,SAMSUNG,19.5:9,6.2,70.5 ,7.2 ,162 ,4000 ,2025 ,骁龙8E,直板,,,,,,
Galaxy S26,SAMSUNG,19.5:9,6.3,71.7 ,7.2 ,169 ,4300 ,2026 ,骁龙8EV,直板,,,,,,
Pixel,Google,16:9,5.0,69.5 ,8.5 ,143 ,2770 ,2016 ,骁龙821,直板,,,,,,
Pixel 2,Google,16:9,5.0,69.7 ,7.8 ,143 ,2700 ,2017 ,骁龙835,直板,,,,,,
Pixel 3,Google,18:9,5.5,68.2 ,7.9 ,148 ,2915 ,2018 ,骁龙845,直板,,,,,,
Pixel 3a,Google,18.5:9,5.6,70.1 ,8.2 ,147 ,3000 ,2019 ,骁龙670,直板,,,,,,
Pixel 4,Google,19:9,5.7,68.8 ,8.2 ,162 ,2800 ,2019 ,骁龙855,直板,,,,,,
Pixel 4a,Google,19.5:9,5.8,69.4 ,8.2 ,143 ,3140 ,2020 ,骁龙730G,直板,,,,,,
Pixel 5,Google,19.5:9,6.0,70.4 ,8.0 ,151 ,4080 ,2020 ,骁龙765G,直板,,,,,,
Pixel 6a,Google,20:9,6.1,71.8 ,8.1 ,178 ,4410 ,2022 ,Tensor,直板,,,,,,
Pixel 8,Google,20:9,6.2,70.8 ,8.9 ,187 ,4575 ,2023 ,Tensor G3,直板,,,,,,
Pixel 9,Google,20:9,6.3,72.0 ,8.5 ,198 ,4700 ,2024 ,Tensor G4,直板,,,,,,
Pixel 9 Pro,Google,20:9,6.3,72.0 ,8.5 ,199 ,4700 ,2024 ,Tensor G4,直板,,,,,,
Pixel 10,Google,20:9,6.3,72.0 ,8.6 ,204 ,4970 ,2025 ,Tensor G5,直板,,,,,,
Pixel 10 Pro,Google,20:9,6.3,72.0 ,8.6 ,207 ,4870 ,2025 ,Tensor G5,直板,,,,,,
Mi 6,xiaomi,16:9,5.2,70.5 ,7.5 ,168 ,3350 ,2017 ,骁龙835,直板,,,,,,
Mi 9 SE,xiaomi,19.5:9,6.0,70.5 ,7.4 ,155 ,3070 ,2019 ,骁龙712,直板,,,,,,
Xiaomi 12,xiaomi,20:9,6.3,69.9 ,8.2 ,180 ,4500 ,2021 ,骁龙8,直板,,,,,,
Xiaomi 12X,xiaomi,20:9,6.3,69.9 ,8.2 ,176 ,4500 ,2021 ,骁龙870,直板,,,,,,
Xiaomi 12S,xiaomi,20:9,6.3,69.9 ,8.7 ,179 ,4500 ,2022 ,骁龙8+,直板,,,,,,
Xiaomi 13,xiaomi,20:9,6.4,71.5 ,8.0 ,189 ,4500 ,2022 ,骁龙8II,直板,,,,,,
Xiaomi 14,xiaomi,20:9,6.4,71.5 ,8.2 ,193 ,4610 ,2023 ,骁龙8III,直板,,,,,,
Xiaomi 15,xiaomi,20:9,6.4,71.2 ,8.1 ,191 ,5400 ,2024 ,骁龙8E,直板,,,,,,
Xiaomi 17,xiaomi,19.5:9,6.3,71.8 ,8.1 ,191 ,7000 ,2025 ,骁龙8EV,直板,,,,,,
Xiaomi 17 Pro,xiaomi,19.5:9,6.3,71.8 ,8.1 ,192 ,6300 ,2025 ,骁龙8EV,直板,,,,,,
Civi,xiaomi,20:9,6.6,71.5 ,7.4 ,166 ,4500 ,2021 ,骁龙788,直板,,,,,,
Civi 1S,xiaomi,20:9,6.6,71.5 ,7.0 ,166 ,4500 ,2022 ,骁龙788+,直板,,,,,,
Civi 3,xiaomi,20:9,6.6,71.7 ,7.6 ,174 ,4500 ,2023 ,天玑8200U,直板,,,,,,
S50 / Edge 50 Neo,moto,20:9,6.4,71.2 ,8.1 ,170 ,4310 ,2024 ,天玑7300,直板,,,,,,
Edge 60 Neo,moto,20:9,6.4,71.2 ,8.1 ,175 ,5200 ,2025 ,天玑7400,直板,,,,,,
18,MEIZU,20:9,6.2,69.2 ,8.2 ,162 ,4000 ,2021 ,骁龙888,直板,,,,,,
18s,MEIZU,20:9,6.2,69.2 ,8.2 ,162 ,4000 ,2021 ,骁龙888+,直板,,,,,,
Meizu 22,MEIZU,20:9,6.3,71.0 ,8.2 ,190 ,5510 ,2025 ,骁龙8sIV,直板,,,,,,
P10,HUAWEI,16:9,5.1,69.3 ,7.0 ,145 ,3200 ,2017 ,麒麟960,直板,,,,,,
P20,HUAWEI,18.5:9,5.8,70.8 ,7.7 ,165 ,3400 ,2018 ,麒麟970,直板,,,,,,
